"CNTRY_NAME","ADMIN_NAME","CNTRY_CODE","IPUM2012","DIST2012","PARENT","mean_pop_dens","total_pop","mean_friction_pop_weighted"
"Zimbabwe","Hwange Urban","716","005021","521","005",376.666732215881,15066.6692886353,0.00223791688646025
"Zimbabwe","Victoria Falls","716","005022","522","005",808.226006106327,30712.5882320404,0.0041271015058589
"Zimbabwe","Beitbridge Urban","716","006022","622","006",1054.29568372454,29520.2791442871,0.00918685462350042
"Zimbabwe","Kwekwe Urban","716","007022","722","007",953.035916923458,111505.202280045,0.00295651424716359
"Zimbabwe","Shurugwi Urban","716","007026","726","007",137.155441919963,23042.1142425537,0.00577558916081654
"Zimbabwe","Zvishavane Urban","716","007024","724","007",491.331410355038,35375.8615455627,0.00309002367265638
"Zimbabwe","Gokwe Centre","716","007025","725","007",939.439384460449,26304.3027648926,0.00165070282544889
"Zimbabwe","Redcliff","716","007023","723","007",649.161749588816,24668.146484375,0.00342293148379844
"Zimbabwe","Gweru Urban","716","007021","721","007",845.457326761882,164864.178718567,0.00218875403524678
"Zimbabwe","Masvingo Urban","716","008021","821","008",1021.61425395678,95010.125617981,0.00258986370275434
"Zimbabwe","Chiredzi Town","716","008022","822","008",1199.76235480058,22795.4847412109,0.00225209584443212
"Zimbabwe","Epworth","716","009023","923","009",4358.92990660056,169998.266357422,0.00232910350116451
"Zimbabwe","Harare Urban","716","009021","921","009",2481.72502737334,163793.851806641,0.0010040061999204
"Zimbabwe","Mutare Urban","716","001021","121","001",795.772981455118,209288.294122696,0.00481336054931419
"Zimbabwe","Chipinge Urban","716","001023","123","001",1323.32661946615,23819.8791503906,0.00277083081072285
"Zimbabwe","Chegutu Urban","716","004023","423","004",1604.89647674561,51356.6872558594,0.00220737606458571
"Zimbabwe","Mhondoro-Ngezi","716","004003","403","004",24.6204735221147,129282.106464624,0.00969181251760214
"Zimbabwe","Gwanda Urban","716","006021","621","006",323.655812086882,8738.70692634583,0.00355554755606118
"Zimbabwe","Bindura Urban","716","002021","221","002",1395.53756841024,50239.3524627686,0.0014158497601272
