"CNTRY_NAME","ADMIN_NAME","CNTRY_CODE","IPUM2012","DIST2012","PARENT","mean_pop_dens","total_pop","mean_friction_pop_weighted"
"Zimbabwe","Bulawayo Urban","716","000021","021","000",1096.5787645649,629436.210860252,0.00224667919672965
"Zimbabwe","Buhera","716","001001","101","001",40.2711552014911,266876.945520282,0.00985377224541294
"Zimbabwe","Chimanimani","716","001002","102","001",36.5263206662327,151584.230764866,0.0158406132217452
"Zimbabwe","Chipinge Rural","716","001003","103","001",51.0655861979613,332947.622010708,0.0120346996950854
"Zimbabwe","Makoni","716","001004","104","001",31.1128570910183,299616.813786507,0.0104358157809919
"Zimbabwe","Mutasa","716","001006","106","001",57.6877707194746,179697.405791163,0.0147973460128144
"Zimbabwe","Nyanga","716","001007","107","001",20.059746774125,142384.082602739,0.0148428590456625
"Zimbabwe","Mutare Rural","716","001005","105","001",42.4470973412722,288428.026433945,0.0116820753737913
"Zimbabwe","Bindura Rural","716","002001","201","002",51.3747546072198,140509.953850746,0.00908452010249041
"Zimbabwe","Muzarabani","716","002002","202","002",26.3702139040296,136070.303744793,0.0118946774992857
"Zimbabwe","Mazowe, Mvurwi","716","002004","204","002",50.4046584769107,268505.615706503,0.00852387197266893
"Zimbabwe","Mt Darwin","716","002005","205","002",43.6313512655142,243462.940061569,0.0114805357816427
"Zimbabwe","Rushinga","716","002006","206","002",29.3504580010637,83149.8475170135,0.0113138045901353
"Zimbabwe","Shamva","716","002007","207","002",41.3707783991314,136068.490154743,0.00941592335065902
"Zimbabwe","Chegutu","716","004001","401","004",29.1401075363232,191100.825223207,0.00955287448737622
"Zimbabwe","Hurungwe, Karoi","716","004002","402","004",17.5235536695804,423211.344674036,0.0100129865348113
"Zimbabwe","Sanyati","716","004007","407","004",21.9348240235225,128976.765258312,0.00956500150984554
"Zimbabwe","Kariba Rural","716","004004","404","004",10.4590532861238,84028.0341007188,0.0135640553401346
"Zimbabwe","Makonde","716","004005","405","004",17.9113944897973,187084.515445933,0.0108013876969396
"Zimbabwe","Zvimba","716","004006","406","004",38.0542043142837,282476.358624928,0.00850712945109591
"Zimbabwe","Bikita","716","008001","801","008",27.540477932008,177553.461227655,0.0108545140469459
"Zimbabwe","Chiredzi Rural","716","008002","802","008",14.2343680685365,310480.036310919,0.0101540323426438
"Zimbabwe","Chivi","716","008003","803","008",40.281958773449,182316.14540863,0.00975913447559274
"Zimbabwe","Gutu","716","008004","804","008",25.1868595803934,220158.339592218,0.0101419228085086
"Zimbabwe","Masvingo Rural","716","008005","805","008",29.022933523563,246549.820282668,0.00948585434444706
"Zimbabwe","Mwenezi","716","008006","806","008",11.3726338969975,187648.459300458,0.0102511425369483
"Zimbabwe","Zaka","716","008007","807","008",51.1210038332752,198860.704911441,0.0103174007993752
"Zimbabwe","Beitbridge Rural","716","006001","601","006",5.84127535415845,93898.5013180971,0.0116563887727607
"Zimbabwe","Gwanda Rural","716","006004","604","006",9.87080242302727,132278.623270988,0.00957136598340524
"Zimbabwe","Insiza","716","006005","605","006",9.99688062074996,102557.998288274,0.0102665224020216
"Zimbabwe","Matobo","716","006006","606","006",10.7971489341453,97973.3294284344,0.0102977288520144
"Zimbabwe","Umzingwane","716","006007","607","006",18.9084143080669,65366.3882629871,0.00935046950479498
"Zimbabwe","Chirumanzu","716","007001","701","007",14.9693281314396,87061.6124124527,0.00911347616696826
"Zimbabwe","Gweru Rural","716","007004","704","007",14.043181090699,102655.65377301,0.00959570321495292
"Zimbabwe","Kwekwe Rural","716","007005","705","007",18.6021803723533,202428.926811948,0.00993311137261043
"Zimbabwe","Mberengwa","716","007006","706","007",31.4819416988466,200036.257554471,0.0103531918885263
"Zimbabwe","Shurugwi Rural","716","007007","707","007",19.509676807588,84554.9392840862,0.0102472806364325
"Zimbabwe","Zvishavane Rural","716","007008","708","007",30.4096748533367,90529.6020383835,0.00835194505494377
"Zimbabwe","Gokwe North","716","007002","702","007",28.5435210682605,253837.532860041,0.0108053610106071
"Zimbabwe","Gokwe South","716","007003","703","007",24.3472347906369,333654.505570889,0.0117166309461129
"Zimbabwe","Binga","716","005001","501","005",9.55901479347107,146635.286931846,0.00988926847226939
"Zimbabwe","BUBI","716","005002","502","005",9.40346811543359,65307.0860616863,0.0113157122708365
"Zimbabwe","Lupane","716","005004","504","005",9.07567538519533,86110.0080547333,0.0110804253650424
"Zimbabwe","Nkayi","716","005005","505","005",17.4358234610538,113141.058438778,0.0115031613704424
"Zimbabwe","Tsholotsho","716","005006","506","005",12.4057312745439,118859.311341405,0.0103642807827876
"Zimbabwe","Umguza","716","005007","507","005",13.3503954436206,101743.363675833,0.00841432185640175
"Zimbabwe","Hwange Rural","716","005003","503","005",3.05570166313393,111640.060262598,0.0106456802654004
"Zimbabwe","Hwedza","716","003003","303","003",25.6273348446425,80777.3594303131,0.00953863278944162
"Zimbabwe","Marondera Rural","716","003004","304","003",47.8763402741646,204910.736373425,0.00674670181612279
"Zimbabwe","Mudzi","716","003005","305","003",30.5030816465441,155870.74721384,0.0107960222128585
"Zimbabwe","Murehwa","716","003006","306","003",54.0365303500808,234842.760901451,0.00943397313350845
"Zimbabwe","Mutoko","716","003007","307","003",33.9749963123298,166817.231893539,0.00977264868757865
"Zimbabwe","Seke","716","003008","308","003",52.9317492811632,171763.526417375,0.00656635521323813
"Zimbabwe","Uzumba Maramba Pfungwe","716","003009","309","003",39.577888122264,129142.648942947,0.0109555202251967
"Zimbabwe","Chikomba","716","003001","301","003",17.1726729207767,137965.25424552,0.00963505532749233
"Zimbabwe","Chitungwiza","716","009022","922","009",5747.81731862035,333373.40447998,0.0021752375199349
"Zimbabwe","Harare Rural","716","009001","901","009",1515.74996783914,1620336.71562004,0.0020346158820393
"Zimbabwe","Bulilima","716","006002","602","006",10.9171539408084,82850.2812567949,0.0104414535656321
"Zimbabwe","Mangwe Rural, Mangwe Urban (Plumtree)","716","006003","603","006",11.1577637587076,82255.0344291925,0.0102306932136029
"Zimbabwe","Guruve","716","002003","203","002",38.2748141388894,138516.552368641,0.0107163818534954
"Zimbabwe","Mbire","716","002008","208","002",16.0730384675072,92018.1452264786,0.0107423102960378
"Zimbabwe","Rusape Urban","716","001022","122","001",1445.34828525119,26016.2691345215,0.000930157952204567
"Zimbabwe","Ruwa","716","003023","323","003",1344.40370080826,63186.9739379883,0.00235959548622488
"Zimbabwe","Goromonzi","716","003002","302","003",86.7334975363365,261674.962067127,0.00681318596143701
"Zimbabwe","Marondera Urban","716","003021","321","003",892.694238897872,65166.6794395447,0.0033228112639059
"Zimbabwe","Kariba Urban","716","004024","424","004",790.332808017731,20548.653008461,0.0153432361272514
"Zimbabwe","Chinhoyi","716","004021","421","004",415.284075428741,82226.2469348907,0.00395821942107067
"Zimbabwe","Kadoma","716","004022","422","004",271.964172481585,107425.848130226,0.00375883607422801
"Zimbabwe","Norton","716","004025","425","004",846.4953474851,82110.0487060547,0.00274808338664986
