"","NAME_1","GID_2","GID_0","NAME_0","GID_1","NL_NAME_1","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","total_pop","mean_hiv_pop_weighted","mean_anaemia_pop_weighted","mean_overweight_pop_weighted","mean_smoker_pop_weighted","mean_resp_risk_pop_weighted","mean_resp_risk_improved_1_pop_weighted","mean_resp_risk_improved_2_pop_weighted","VLS","not_vls","prop_HIV_no_vls","prop_comorbidities","severe_covid_risk","prop_comorbidities_improved_1","severe_covid_risk_improved_1","prop_comorbidities_improved_2","severe_covid_risk_improved_2"
"1","Bulawayo","ZWE.1.1_1","ZWE","Zimbabwe","ZWE.1_1",NA,"Bulawayo",NA,NA,"District","District",NA,"ZW.BU.BL",733348.377480507,0.146274566351052,0.0526253605514797,0.327598220686169,0.0864504736680919,0.323845396768049,0.318502327311233,0.13848154855099,62.8,0.372,0.0544141386825914,0.614149255547153,0.107426660770975,0.611100208306002,0.107147625374724,0.508370520199756,0.0981126702484289
"2","Harare","ZWE.2.1_1","ZWE","Zimbabwe","ZWE.2_1",NA,"Harare","Salisbury|Harare Urban",NA,"District","District",NA,"ZW.HA",2511295.3643384,0.148319576622747,0.0450859289630139,0.349741598163354,0.0766363342029053,0.426844704440056,0.342613431275864,0.152475369520402,57.4,0.426,0.0631841396412904,0.681623428088469,0.113242942363759,0.634834601036701,0.108830514550446,0.529216621475913,0.0994221168438715
"3","Manicaland","ZWE.3.1_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Buhera",NA,NA,"District","District",NA,"ZW.MA.BH",293197.748624325,0.123818871632013,0.0231427145423571,0.184367009158295,0.0780644364535827,0.366596536201086,0.288082736171874,0.122301817043191,60.5,0.395,0.0489084542946452,0.531122083244963,0.0996532258878094,0.473002118485967,0.0947801479704731,0.35028253066971,0.0851864541166001
"4","Manicaland","ZWE.3.2_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Chimanimani",NA,NA,"District","District",NA,"ZW.MA.CM",159602.680903912,0.126541317684266,0.0176586376258438,0.242537443533295,0.080169327846263,0.380911069290811,0.309722070881707,0.134596655541504,60.5,0.395,0.0499838204852849,0.570097400169011,0.103148065199568,0.520662926416784,0.098859591625832,0.399053788186851,0.0889794972152855
"5","Manicaland","ZWE.3.3_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Chipinge",NA,NA,"District","District",NA,"ZW.MA.CP",385824.172568798,0.111992617901987,0.0210036181116829,0.235218952776959,0.0609865532106581,0.478327914330534,0.392270729832281,0.182150167779052,60.5,0.395,0.0442370840712849,0.634533928854947,0.108000050557471,0.57424513446408,0.102574475240188,0.427041673918867,0.0903313689877462
"6","Manicaland","ZWE.3.4_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Makoni",NA,NA,"District","District",NA,"ZW.MA.MN",360791.781808376,0.15064086279319,0.027185955173414,0.194408185134868,0.0875387938136529,0.423877095028149,0.352512143071802,0.158136404520281,60.5,0.395,0.0595031408033102,0.586907604337488,0.105010418364647,0.535737413540391,0.100503174261809,0.396365868330188,0.089088351454484
"7","Manicaland","ZWE.3.5_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Mutare","Umtali",NA,"District","District",NA,"ZW.MA.MR",536205.171864986,0.102993335340696,0.0259495663789613,0.262019099811724,0.0810136003223125,0.383968360998638,0.318633276402481,0.143553999390892,60.5,0.395,0.0406823674595748,0.586216227494518,0.104623549471313,0.542331147460337,0.100760021210827,0.424731727003902,0.0910256228857794
"8","Manicaland","ZWE.3.6_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Mutasa",NA,NA,"District","District",NA,"ZW.MA.MS",200209.541516781,0.076535806565223,0.0249061553290387,0.208567713036611,0.0829436861089935,0.510409709985028,0.435187625449931,0.210055204100202,60.5,0.395,0.0302316435932631,0.642721075532384,0.10989046871315,0.58782769629872,0.104863975982666,0.423537123133632,0.0910159179852178
"9","Manicaland","ZWE.3.7_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Nyanga",NA,NA,"District","District",NA,"ZW.MA.NY",150656.221906662,0.0840057715447036,0.0260636506339384,0.190466116601802,0.0746187015937175,0.445463552549646,0.374066747047742,0.170108173484216,60.5,0.395,0.0331822797601579,0.588309468729342,0.104493110092837,0.535304136215579,0.0998478767035298,0.383884308188692,0.087575875959587
"10","Mashonaland Central","ZWE.4.1_1","ZWE","Zimbabwe","ZWE.4_1",NA,"Bindura",NA,NA,"District","District",NA,"ZW.MC.BD",202503.369071484,0.16988754157901,0.0301165014429539,0.212705408778039,0.114836555619478,0.445729257886532,0.394602704817626,0.184231104525609,59.1,0.409,0.0694840045058151,0.618036199393291,0.109240381144772,0.58280343129217,0.106007349222857,0.437830352466363,0.0935777541521554
