"GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","total_pop","mean_hw_risk_pop_weighted","mean_w_risk_pop_weighted"
"ZWE","Zimbabwe","ZWE.7_1","Masvingo",NA,"ZWE.7.7_1","Zaka",NA,NA,"District","District",NA,"ZW.MV.ZA",198770.882119626,0.530775529128998,0.913037696323355
"ZWE","Zimbabwe","ZWE.8_1","Matabeleland North",NA,"ZWE.8.1_1","Binga",NA,NA,"District","District",NA,"ZW.MN.BG",145689.540070865,0.655349597428168,0.933704031766908
"ZWE","Zimbabwe","ZWE.8_1","Matabeleland North",NA,"ZWE.8.2_1","Bubi",NA,NA,"District","District",NA,"ZW.MN.BU",64449.2963659465,0.449466677927489,0.823827795897295
"ZWE","Zimbabwe","ZWE.8_1","Matabeleland North",NA,"ZWE.8.3_1","Hwange","Wankie",NA,"District","District",NA,"ZW.MN.HW",157071.715121903,0.368452406770446,0.667519183154781
"ZWE","Zimbabwe","ZWE.8_1","Matabeleland North",NA,"ZWE.8.4_1","Lupane",NA,NA,"District","District",NA,"ZW.MN.LU",86792.1815314293,0.628889287071215,0.93197726596657
"ZWE","Zimbabwe","ZWE.8_1","Matabeleland North",NA,"ZWE.8.5_1","Nkayi",NA,NA,"District","District",NA,"ZW.MN.NK",114349.007436275,0.521911635153369,0.932872202792182
"ZWE","Zimbabwe","ZWE.8_1","Matabeleland North",NA,"ZWE.8.6_1","Tsholotsho",NA,NA,"District","District",NA,"ZW.MN.TS",119849.075783789,0.503246749004239,0.943873585006242
"ZWE","Zimbabwe","ZWE.8_1","Matabeleland North",NA,"ZWE.8.7_1","Umguza",NA,NA,"District","District",NA,"ZW.MN.UG",102477.617293119,0.384828032822162,0.623739361542415
"ZWE","Zimbabwe","ZWE.9_1","Matabeleland South",NA,"ZWE.9.1_1","Beitbridge",NA,NA,"District","District",NA,"ZW.MS.BB",123743.9860605,0.480468276985689,0.641510087976984
"ZWE","Zimbabwe","ZWE.9_1","Matabeleland South",NA,"ZWE.9.2_1","Bulilima (North)","Bulalimamangwe|Bulilima",NA,"District","District",NA,"ZW.MS.BM",82806.8758376837,0.408203176780575,0.860102121743574
"ZWE","Zimbabwe","ZWE.9_1","Matabeleland South",NA,"ZWE.9.3_1","Gwanda",NA,NA,"District","District",NA,"ZW.MS.GD",141111.422362924,0.568119448131262,0.887357380102558
"ZWE","Zimbabwe","ZWE.9_1","Matabeleland South",NA,"ZWE.9.4_1","Insiza",NA,NA,"District","District",NA,"ZW.MS.IN",104736.051420331,0.58309982411993,0.940333067070334
"ZWE","Zimbabwe","ZWE.9_1","Matabeleland South",NA,"ZWE.9.5_1","Mangwe (South)","Bulalimamangwe South",NA,"District","District",NA,"ZW.MS.MG",84309.4908524752,0.392244682336893,0.758173537598271
"ZWE","Zimbabwe","ZWE.9_1","Matabeleland South",NA,"ZWE.9.6_1","Matobo",NA,NA,"District","District",NA,"ZW.MS.MT",97231.3961884975,0.452699299831254,0.828134438211733
"ZWE","Zimbabwe","ZWE.9_1","Matabeleland South",NA,"ZWE.9.7_1","Umzingwane",NA,NA,"District","District",NA,"ZW.MS.UZ",64952.5979311466,0.47100630726713,0.939596060526607
"ZWE","Zimbabwe","ZWE.10_1","Midlands",NA,"ZWE.10.1_1","Chirumhanzu","Chirumanzu",NA,"District","District",NA,"ZW.MI.CH",86621.9000310898,0.497757616291095,0.68040297414927
"ZWE","Zimbabwe","ZWE.10_1","Midlands",NA,"ZWE.10.2_1","Gokwe North","Gokwe",NA,"District","District",NA,"ZW.MI.GN",257538.065981388,0.613240830387723,0.97994473276596
"ZWE","Zimbabwe","ZWE.10_1","Midlands",NA,"ZWE.10.3_1","Gokwe South","Gokwe",NA,"District","District",NA,"ZW.MI.GS",356041.471254826,0.623923563218156,0.929102762562315
"ZWE","Zimbabwe","ZWE.10_1","Midlands",NA,"ZWE.10.4_1","Gweru","Gwelo",NA,"District","District",NA,"ZW.MI.GW",270595.468783021,0.432551069522351,0.482301229265901
"ZWE","Zimbabwe","ZWE.10_1","Midlands",NA,"ZWE.10.5_1","Kwekwe","Que Que",NA,"District","District",NA,"ZW.MI.KW",337517.201326206,0.398070637755204,0.487197505124617
"ZWE","Zimbabwe","ZWE.10_1","Midlands",NA,"ZWE.10.6_1","Mberengwa","Mberingwe",NA,"District","District",NA,"ZW.MI.MB",196141.497195661,0.692165881978802,0.959139370393751
"ZWE","Zimbabwe","ZWE.10_1","Midlands",NA,"ZWE.10.7_1","Shurugwi","Selukwe",NA,"District","District",NA,"ZW.MI.SR",107855.125550985,0.539611203478366,0.798214385488829
"ZWE","Zimbabwe","ZWE.10_1","Midlands",NA,"ZWE.10.8_1","Zvishavane","Shabani, Shavani",NA,"District","District",NA,"ZW.MI.ZV",130809.650128841,0.683530889543169,0.828817022902625
